rid,question_name
1,优化新冠疫情防控二十条措施公布，密接者管理调为「5+3」，风险区调为「高、低」两类，哪些信息值得关注？
2,日本新冠确诊断崖式下降，全球日增确诊下降超 50％，可能是德尔塔病毒在「自我灭绝」，疫情会自动消失吗？
3,李兰娟和钟南山谁的学术和贡献最厉害？
4,奥密克戎会不会再次变异呢？
5,现在还要不要惧怕新冠病毒?
6,目前国内二次感染xbb毒株的人多吗？症状严重不？
7,台湾确诊300W为什么没有一条热搜？
8,有没有第2、3次重复新冠的人，来说说有什么感受？
9,Omicron是不是最后的黑暗？
10,为什么现在没人说“老人、小孩、后遗症”了？
11,曾经轻信张文宏的人，现在后悔了吗？
12,为什么疫情放开前90%以上都是无症状感染者，放开后身边都是有症状的高烧感染者？
13,三年的疫情放开了，接下来想做什么事儿？
14,2023年还戴口罩的人是什么心态?
15,目前大家认为的甲流，有没有可能其中掺杂着大量的新冠病例？
16,为什么最近阳性越来越多了?
17,如果与新冠阳性人员擦肩而过，戴口罩和不戴口罩区别到底有多大？个人防护有哪些注意事项？
18,买不到布洛芬的为什么不选择买维C银翘片呢?
19,为什么布洛芬断货，而对乙酰氨基酚能买到？
20,在美华人会不会因为这次疫情事件后悔移民？
21,张文宏骗我们了吗？
22,长春疫情为什么控制不住？
23,疫情过后许多人面临失业啦，房贷断供，房子也卖不掉，怎么走出困局？
24,三部门联合发布「开学后师生在校期间不强制要求佩戴口罩」，将产生哪些影响？师生该如何做好防护？
25,张文宏是一个怎样的人？
26,理性讨论，甲流会不会是第二波新冠?
27,「根据约翰霍普金斯大学统计...」是什么梗？
28,湖北黄冈新冠疫情期间「一问三不知」的卫健委主任履新职，当地回应「不存在问题」，这一任命合理吗？
29,关于大学下的新冠，下学期怎么苟住不返校？
30,疫情防控放开了，你们的想法有没有发生改变？
31,如何看待国内的研究，新冠病毒可通过淋巴细胞整合素，直接进入T细胞？
32,不是说新冠能反复感染吗？那不是无休止了？
33,英国媒体文章将中国经济在疫情后复苏，形容为「恶龙归来的咆哮有多么丑陋」，你怎么看？
34,好不容易买到一盒退烧药，妈妈声张，我生气了，我的想法有问题吗？
35,疫情放开后第一波已过去，第二波还会…来么？
36,北京面临新冠疫情以来最复杂最严峻防控形势，处于最关键最吃紧的时刻，哪些信息值得关注？
37,为什么重庆突然解封了？
38,《柳叶刀》新研究首次证实宠物向人类传染新冠，是如何证明的？我们该如何保护宠物和自己？
39,逛商场时发现大家都不戴口罩，自己要坚持戴吗？
40,石药集团新冠病毒 mRNA 疫苗在中国纳入紧急使用，系首个中国自主研发并获授使用疫苗，哪些信息需关注？
41,现在新冠有没有根本不感染的人？
42,新冠二次感染的几率有多大？
43,身边突然出现确诊病例了怎么办？该如何应对？
44,本轮上海疫情，为何感染人数这么多?
45,为什么美国打仗时每个兵都要去救，或者死了几十个人就要大肆讨伐，现在新冠死了那么多人，却无动于衷？
46,家中的老人被我传染新冠后去世，妈妈不能原谅我，怎么办？
47,如何看待网红博主王境泽对2022年3月长春疫情的发声？
48,新冠疫情退潮，医院里留下大批闲置的 CT 和呼吸机该如何分配？
